id,source_row,input_text,target_gloss,warning_flag,negation_flag
42,61,انتبه هاد النوع بيعمل امساك احيانا,انتبه [!!] جسم تعب [!!] اسهال امساك دوخه [!!],1,0
43,62,ممكن تحس بدوخه بسيطه اول ما تاخده,انتبه [!!] جسم تعب [!!] اسهال امساك دوخه [!!],1,0
44,64,ممكن تحس بوجع راس خفيف باول يومين,انتبه [!!] جسم تعب [!!] اسهال امساك دوخه [!!],1,0
45,65,انتبه بسبب تعود,انتبه [!!] دواء سبب ادمان خطر,1,0
46,66,دير بالك هاد بيعمل ادمان,انتبه [!!] دواء سبب ادمان خطر,1,0
47,67,انتبه ببيعمل تعود,انتبه [!!] دواء سبب ادمان خطر,1,0
48,68,دير بالك منه لانه بيعمل ادمان,انتبه [!!] دواء سبب ادمان خطر,1,0
49,69,انتبه من التعود,انتبه [!!] دواء سبب ادمان خطر,1,0
50,74,انتبه من اي جرح بيعمل نزيف,انتبه خطر [!!] جسم جرح [!!] دم نزيف زياده [!!],1,0
51,75,دير بالك تنجرح لانو النزيف بطول,انتبه خطر [!!] جسم جرح [!!] دم نزيف زياده [!!],1,0
52,76,انتبه من النزيف والجروح,انتبه خطر [!!] جسم جرح [!!] دم نزيف زياده [!!],1,0
53,77,اي جرح بيعملك نزيف فانتبه,انتبه خطر [!!] جسم جرح [!!] دم نزيف زياده [!!],1,0
54,78,دير بالك من الجروح والنزيف,انتبه خطر [!!] جسم جرح [!!] دم نزيف زياده [!!],1,0
55,79,انتبه من الجروح لانو بصير نزيف,انتبه خطر [!!] جسم جرح [!!] دم نزيف زياده [!!],1,0
56,80,دير بالك من النزيف,انتبه خطر [!!] جسم جرح [!!] دم نزيف زياده [!!],1,0
57,81,بينعس كتير,انتبه دواء سبب نعاس [!!],1,0
58,82,بس انتبه بينعس,انتبه دواء سبب نعاس [!!],1,0
59,83,بدك تنتبه من النعاس,انتبه دواء سبب نعاس [!!],1,0
60,84,بيعمل خمول ونعاس,انتبه دواء سبب نعاس [!!],1,0
61,86,بدك تنتبه لانو بينعس,انتبه دواء سبب نعاس [!!],1,0
62,88,انتبه بينعسك شوي,انتبه دواء سبب نعاس [!!],1,0
63,89,فيو ماده بتنعس,انتبه دواء سبب نعاس [!!],1,0
64,90,ممنوع كليا بالحمل,بنت حامل دواء [!!] ممنوع,1,0
65,91,ما بيتاخد بالحمل ابدا,بنت حامل دواء [!!] ممنوع,1,0
66,92,ممنوع بالحمل نهاييا,بنت حامل دواء [!!] ممنوع,1,0
67,94,ممنوع للحوامل,بنت حامل دواء [!!] ممنوع,1,0
68,96,ممنوع استخدامه بالحمل,بنت حامل دواء [!!] ممنوع,1,0
69,97,ما بينمزح فيه بالحمل,بنت حامل دواء [!!] ممنوع,1,0
70,98,كل 4 ساعات,تكرار كل اربعه ساعه,0,0
71,99,خود حبه قبل الاكل بنص ساعه,ثلاثه مرات حبه قبل اكل انتظر ثلاثين-دقيقه,0,0
72,100,خود حبه قبل ما تحط لقمه بتمك بنص ساعه,ثلاثه مرات حبه قبل اكل انتظر ثلاثين-دقيقه,0,0
73,102,قبل بنص ساعه,ثلاثه مرات حبه قبل اكل انتظر ثلاثين-دقيقه,0,0
74,104,حبه قبل الاكل بنص ساعه,ثلاثه مرات حبه قبل اكل انتظر ثلاثين-دقيقه,0,0
75,105,وقبل الاكل بنص ساعه حصرا,ثلاثه مرات حبه قبل اكل انتظر ثلاثين-دقيقه,0,0
76,106,قبل كل وجبه بنص ساعه,ثلاثه مرات حبه قبل اكل انتظر ثلاثين-دقيقه,0,0
77,108,كل وحده قبل الاكله بنص ساعه,ثلاثه مرات حبه قبل اكل انتظر ثلاثين-دقيقه,0,0
78,109,لازم تلتزم بحبه قبل الاكل بنص ساعه,ثلاثه مرات حبه قبل اكل انتظر ثلاثين-دقيقه,0,0
79,111,بس وقت الضروره القصوي,جسم تعب ضروره بس دواء,0,0
80,112,وقت الحاجه,جسم تعب ضروره بس دواء,0,0
81,114,ممنوع اذا معك حساسيه,جسم حساسيه [!!] دواء ممنوع-خطر,1,0
82,115,وانتبه اذا عندك حساسيه,جسم حساسيه [!!] دواء ممنوع-خطر,1,0
83,116,ولا تقرب عليه اذا بتتحسس,جسم حساسيه [!!] دواء ممنوع-خطر,1,0
84,117,وممنوع للي معه حساسيه,جسم حساسيه [!!] دواء ممنوع-خطر,1,0
85,118,واذا بتتحسس لا تاخده,جسم حساسيه [!!] دواء ممنوع-خطر,1,0
86,121,وممنوع اذا في حساسيه,جسم حساسيه [!!] دواء ممنوع-خطر,1,0
87,122,وانتبه اذا معك حساسيه,جسم حساسيه [!!] دواء ممنوع-خطر,1,0
88,123,انتبه تزيد الجرعه لانو الزياده بتضر,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
89,124,دير بالك تزيد الجرعه,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
90,125,لا تتجاوز الجرعه لانو بتاذي,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
91,126,الزياده بتعمل مشاكل فالتزم بالعدد ولا تزيد,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
92,127,بس انتبه من زياده الجرعه,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
93,128,ودير بالك تزيد لانو بصير مفعوله عكسي,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
94,131,بس انتبه تزيد الجرعه لانو بتضر الجسم,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
95,132,ولا تتشاطر وتزيد الجرعه لانو خطر,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
96,134,دير بالك من كترته,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
97,135,انتبه تزيد لانو الزياده سميه,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
98,136,ودير بالك تتجاوز الجرعه لانو بتضرك,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
99,137,زياده الفيتامين مو منيحه,حبه زياده [NEG] لا-ممنوع [!!] جسم تسمم خطر,1,1
100,138,كل 12 ساعه,حبه صباح حبه ليل,0,0
101,140,كبسوله الصبح وكبسوله المسا,حبه صباح حبه ليل,0,0
102,141,حبه كل 12 ساعه,حبه صباح حبه ليل,0,0
103,143,حبه الصبح وحبه قبل ما تنام,حبه صباح حبه ليل,0,0
104,144,خدي حبه كل 12 ساعه بعد الاكل,حبه صباح ليل اكل بعد,0,0
105,147,لازم تاكلي حبه كل 12 ساعه حصرا بعد الاكل,حبه صباح ليل اكل بعد,0,0
106,148,حبه بعد الاكل مرتين بالنهار,حبه صباح ليل اكل بعد,0,0
107,149,حبه بعد الاكل كل 12 ساعه,حبه صباح ليل اكل بعد,0,0
108,150,بدك تلتزمي بحبه بعد الاكل كل 12 ساعه,حبه صباح ليل اكل بعد,0,0
109,151,كل 12 ساعه حبه بعد الاكل,حبه صباح ليل اكل بعد,0,0
110,152,حبه بعد الاكل مرتين باليوم (كل 12 ساعه),حبه صباح ليل اكل بعد,0,0
111,153,وبدك تتركي 12 ساعه بين الحبه والتانيه,حبه صباح ليل اكل بعد,0,0
112,154,حسب تعليمات حكيمك,دكتور كلام [!!] التزام,1,0
113,155,التزم بكلمه الدكتور,دكتور كلام [!!] التزام,1,0
114,158,لازم ينقطع,دواء [!!] وقف-فورا,1,0
115,159,وقفي,دواء [!!] وقف-فورا,1,0
116,162,ل 3 شهور,دواء استمرار ثلاثه شهور كامل[!!]لازم,1,0
117,164,استمر عليه 3 شهور,دواء استمرار ثلاثه شهور كامل[!!]لازم,1,0
118,165,لمده اسبوع كامل,دواء استمرار سبعه يوم كامل [!!] قطع لا,1,0
119,167,ومواظبه عليها لسبع تيام,دواء استمرار سبعه يوم كامل [!!] قطع لا,1,0
120,168,وما بتقطعيها قبل ما يخلص الاسبوع,دواء استمرار سبعه يوم كامل [!!] قطع لا,1,0
121,169,حبه بعد الاكل مرتين بالنهار لمده 7 تيام تماما,دواء استمرار سبعه يوم كامل [!!] قطع لا,1,0
122,171,ولازم تخلصي ال 7 تيام كلهم,دواء استمرار سبعه يوم كامل [!!] قطع لا,1,0
123,172,يعني حبتين باليوم لمده اسبوع,دواء استمرار سبعه يوم كامل [!!] قطع لا,1,0
124,173,والمده سبع تيام,دواء استمرار سبعه يوم كامل [!!] قطع لا,1,0
125,174,وبتكملي هيك لسبعه ايام,دواء استمرار سبعه يوم كامل [!!] قطع لا,1,0
126,175,بخ بخه وحده بكل طرف من انفك,دواء انف بخ [!!] يمين يسار,1,0
127,176,نظف انفك منيح قبل ما تبخ البخاخ,دواء انف بخ [!!] يمين يسار,1,0
128,178,بس يمر ساعتين,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
129,180,فصلي بين هاد الدوا وهاد الدوا بساعتين,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
130,181,اتركي فرق ساعتين بينهن,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
131,182,فرقي ساعتين بينهن,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
132,183,ساعتين فرق بينهن,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
133,184,بعد ساعتين,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
134,185,افصل ساعتين عن اي دوا تاني,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
135,187,ضروري تفرق ساعتين بينه وبين اي دوا تاني,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
136,189,بس انتبه لازم فرق ساعتين عن اي دوا تاني,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
137,190,بس افصل ساعتين عن باقي الادويه ضروري كتير,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
138,191,لازم فرق ساعتين عن غير دويات,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
139,192,اترك ساعتين بينه وبين اي دوا تاني,دواء اول انتظر 2 ساعه دواء ثاني لازم [!!],1,0
140,195,بلا اي ضرر,دواء امن [NEG] مشاكل-جسم-لا,0,1
141,196,امن تماما,دواء امن [NEG] مشاكل-جسم-لا,0,1
142,198,ماله اي اثار,دواء امن [NEG] مشاكل-جسم-لا,0,1
143,199,بلش فيه فورا,دواء بدايه الان [!!] وجع اول شعور خذه فورا,1,0
144,200,بلش من اول العوارض,دواء بدايه الان [!!] وجع اول شعور خذه فورا,1,0
145,202,بلش فيه من هلق,دواء بدايه الان [!!] وجع اول شعور خذه فورا,1,0
146,203,بلش من اول نغزه,دواء بدايه الان [!!] وجع اول شعور خذه فورا,1,0
147,204,اول ما تحس بالوجع خده,دواء بدايه الان [!!] وجع اول شعور خذه فورا,1,0
148,208,ما الو اي تعارض,دواء ثاني مع [NEG] تداخل-لا,0,1
149,209,امن مع غيره,دواء ثاني مع [NEG] تداخل-لا,0,1
150,210,مشان ما يصير تداخل,دواء ثاني مع [NEG] تداخل-لا,0,1
151,211,ماله تداخلات,دواء ثاني مع [NEG] تداخل-لا,0,1
152,213,بلا اي عوارض,دواء ثاني مع [NEG] تداخل-لا,0,1
153,214,خله بالبراد دايما,دواء حفظ مكان بارد براد [!!] حراره [NEG] لا,1,1
154,215,لازم يضل بالتلاجه مشان ما ينتزع,دواء حفظ مكان بارد براد [!!] حراره [NEG] لا,1,1
155,217,انتبه تتركه برات البراد بالحراره,دواء حفظ مكان بارد براد [!!] حراره [NEG] لا,1,1
156,218,هاد الدوا بدو بروده دايما,دواء حفظ مكان بارد براد [!!] حراره [NEG] لا,1,1
157,220,دير بالك تخليه بالشمس او بمكان شوب,دواء حفظ مكان بارد براد [!!] حراره [NEG] لا,1,1
158,221,بعيد عن الضوء والحراره دايما,دواء حفظ مكان بارد براد [!!] حراره [NEG] لا,1,1
159,222,دير بالك من الضوء خليه بكرتونته دايما,دواء داخل كرتونه [!!] ضوء شمس [NEG] لا-خطر,1,1
160,223,لا تاخديه بالليل,دواء سبب نشاط ليل نوم [NEG] لا-لا,0,1
161,226,بالليل بيسهرك,دواء سبب نشاط ليل نوم [NEG] لا-لا,0,1
162,227,هاد شراب للسعله,دواء شراب سعله راحه [!!],1,0
163,228,مشان تخلص من السعله,دواء شراب سعله راحه [!!],1,0
164,229,هاد الدوا بيريح الصدر وبيهدي السعله,دواء شراب سعله راحه [!!],1,0
165,230,مشان الكحه,دواء شراب سعله راحه [!!],1,0
166,232,مشان ترتاح من السعله اللي عندك,دواء شراب سعله راحه [!!],1,0
167,234,منيح للسعله وبيلين الصدر,دواء شراب سعله راحه [!!],1,0
168,235,هاد شراب مشان السعله,دواء شراب سعله راحه [!!],1,0
169,236,شراب السعله هاد,دواء شراب سعله راحه [!!],1,0
170,237,مشان السعله,دواء شراب سعله راحه [!!],1,0
171,239,هو مخصوص للسعله,دواء شراب سعله راحه [!!],1,0
172,240,هاد الشراب ترياق للسعله,دواء شراب سعله راحه [!!],1,0
173,241,هاد نفس التركيبه بس شركه تانيه,دواء شركه ثانيه نفس مفعول [!!] سعر رخيص.,1,0
174,242,هاد البديل تبعه نفس الماده ونفس القوه,دواء شركه ثانيه نفس مفعول [!!] سعر رخيص.,1,0
175,243,ما فرق شي نفس الدوا بس الاسم التجاري غير,دواء شركه ثانيه نفس مفعول [!!] سعر رخيص.,1,0
176,244,هاد اللي طلبته مقطوع بس هاد نفسه بالظبط,دواء شركه ثانيه نفس مفعول [!!] سعر رخيص.,1,0
177,248,صلاحيتها شهر من الفتح,دواء فتح بعد شهر [!!] كب زباله,1,0
178,249,بتنتزع بعد شهر,دواء فتح بعد شهر [!!] كب زباله,1,0
179,250,صلاحيتها شهر,دواء فتح بعد شهر [!!] كب زباله,1,0
180,251,كبها بعد شهر,دواء فتح بعد شهر [!!] كب زباله,1,0
181,252,شهر وبتكبها,دواء فتح بعد شهر [!!] كب زباله,1,0
182,253,مدتها شهر بعد الفتح,دواء فتح بعد شهر [!!] كب زباله,1,0
183,257,كثر شرب مي ضروري,دواء مع ماء كثير [!!] لازم,1,0
184,258,لازم تشرب مي كتير,دواء مع ماء كثير [!!] لازم,1,0
185,260,اشرب مي كتير,دواء مع ماء كثير [!!] لازم,1,0
186,261,لازم تشرب معه بحر مي,دواء مع ماء كثير [!!] لازم,1,0
187,262,كتر مي كتير ضروري,دواء مع ماء كثير [!!] لازم,1,0
188,266,انتبه يوصلوا له الاطفال خبيه منيح,دواء مكان عالي [!!] طفل لمس [NEG] لا-ممنوع [!!] خطر,1,1
189,267,هاد خطر علي الاطفال خليه بعيد عنهم,دواء مكان عالي [!!] طفل لمس [NEG] لا-ممنوع [!!] خطر,1,1
190,268,هاد الدوا لوجع الاسنان,دواء هدف اسنان وجع راحه [!!],1,0
191,270,هاد مسكن قوي للاسنان,دواء هدف اسنان وجع راحه [!!],1,0
192,271,هاد لوجع السنان,دواء هدف اسنان وجع راحه [!!],1,0
193,272,هاد الدوا منيح للسنان,دواء هدف اسنان وجع راحه [!!],1,0
194,273,لوجع سنانك,دواء هدف اسنان وجع راحه [!!],1,0
195,274,هاد مسكن للسنان,دواء هدف اسنان وجع راحه [!!],1,0
196,276,هاد واقي معده,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
197,277,هي الحبه مشان تحمي المعده,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
198,278,مشان معدتك ما تضايقك,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
199,279,هاد دوا للمعده,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
200,280,هي حبه للمعده,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
201,283,حبه واقي معده,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
202,284,مشان ما تضايقك معدتك,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
203,285,مشان ما توجعك معدتك,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
204,286,مشان ما تتدايق,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
205,287,مشان معدتك ما تكركبك,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
206,288,مشان ما تاذي معدتك,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
207,290,مشان نحمي معدتك من الوجع,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
208,291,مشان ما تقلب عليك معدتك,دواء هدف حمايه-معده [!!] وجع [NEG] لا,1,1
209,292,مشان ما تضل تلعي نفسك,دواء هدف لعيه-نفس مراجعه [NEG] لا-خلاص,0,1
210,293,مشان تضل معدتك هاديه وما تراجع,دواء هدف لعيه-نفس مراجعه [NEG] لا-خلاص,0,1
211,294,مشان تروح اللعيه,دواء هدف لعيه-نفس مراجعه [NEG] لا-خلاص,0,1
212,297,هاد الدوا للمراجعه,دواء هدف لعيه-نفس مراجعه [NEG] لا-خلاص,0,1
213,298,مضاد فيروسي,دواء هدف محاربه فيروس [!!],1,0
214,301,للفيروس,دواء هدف محاربه فيروس [!!],1,0
215,302,ممنوع تقطعه فجاه,دواء وقف فجاه [NEG] لا-لا [!!] لازم شويه-شويه,1,1
216,304,ممنوع توقفه من راسك فجاه,دواء وقف فجاه [NEG] لا-لا [!!] لازم شويه-شويه,1,1
217,305,ممنوع تقطعه دفعه وحده,دواء وقف فجاه [NEG] لا-لا [!!] لازم شويه-شويه,1,1
218,306,لازم تنسحب منه بالتدريج,دواء وقف فجاه [NEG] لا-لا [!!] لازم شويه-شويه,1,1
219,307,ممنوع توقفه فجاه,دواء وقف فجاه [NEG] لا-لا [!!] لازم شويه-شويه,1,1
220,308,اياك تقطعه فجاه,دواء وقف فجاه [NEG] لا-لا [!!] لازم شويه-شويه,1,1
221,310,وممنوع توقفه فجاه ابدا,دواء وقف فجاه [NEG] لا-لا [!!] لازم شويه-شويه,1,1
222,311,وقطعه فجاه بيعملك مشاكل,دواء وقف فجاه [NEG] لا-لا [!!] لازم شويه-شويه,1,1
223,312,خليك هادي دقيقه لتدخل القطره لجوا,راس ميل [!!] انتظر واحد دقيقه قطره دخول صح,1,0
224,314,خليك مميل راسك دقيقه لتستقر لجوا,راس ميل [!!] انتظر واحد دقيقه قطره دخول صح,1,0
225,316,خليك مميل راسك شوي لتنزل لجوا,راس ميل [!!] انتظر واحد دقيقه قطره دخول صح,1,0
226,317,ضروري تضل مميل راسك دقيقه لتدخل لجوا وما تطلع,راس ميل [!!] انتظر واحد دقيقه قطره دخول صح,1,0
227,318,ويفضل تبعد عن الشغلات البارده,شرب بارد [NEG] لا-ممنوع,0,1
228,319,حصرا الصبح,صباح بكير حبه [!!] لازم,1,0
229,321,خديها بكير,صباح بكير حبه [!!] لازم,1,0
230,322,خود حبه كل يوم الصبحيات عالريق قبل ما تفطر,صباح بكير فطور قبل حبه معده فاضيه,0,0
231,323,بدك تبلعها يوميا اول ما تفيق وقبل الاكل,صباح بكير فطور قبل حبه معده فاضيه,0,0
232,325,استخدامه حبه وحده بالنهار الصبح بكير وانت صايم,صباح بكير فطور قبل حبه معده فاضيه,0,0
233,326,قبل الفطور عالريق خود حبه كل يوم,صباح بكير فطور قبل حبه معده فاضيه,0,0
234,327,بتاخدها كل يوم الصبحيات وما بتاكل شي قبلها,صباح بكير فطور قبل حبه معده فاضيه,0,0
235,329,لازم تلتزم فيه حبه كل يوم الصبحيات قبل الاكل,صباح بكير فطور قبل حبه معده فاضيه,0,0
236,330,خود حبه من هاد قبل الفطور بنص ساعه مثلا (عالريق),صباح بكير فطور قبل حبه معده فاضيه,0,0
237,331,يوميا اول ما تفتح عيونك الصبح وقبل اي شي تاني,صباح بكير فطور قبل حبه معده فاضيه,0,0
238,332,امضغ حبه او تنتين عند اللزوم,ضروره بس [!!] حبه واحد او اثنين مضغ-اسنان,1,0
239,334,اقرط حبه او تنتين بس تحس بالحرقه,ضروره بس [!!] حبه واحد او اثنين مضغ-اسنان,1,0
240,335,امضغ حبتين بس تنزعج,ضروره بس [!!] حبه واحد او اثنين مضغ-اسنان,1,0
241,338,لازم تخلص العلبه كلها,علبه دواء كامل [!!] لازم نهايه,1,0
242,339,كمل الكورس للاخير,علبه دواء كامل [!!] لازم نهايه,1,0
243,340,العلبه كامله,علبه دواء كامل [!!] لازم نهايه,1,0
244,341,لازم تخلصه كله,علبه دواء كامل [!!] لازم نهايه,1,0
245,342,ضروري تخلص العلبه,علبه دواء كامل [!!] لازم نهايه,1,0
246,343,كمل العلبه,علبه دواء كامل [!!] لازم نهايه,1,0
247,344,لازم يخلص للاخير,علبه دواء كامل [!!] لازم نهايه,1,0
248,347,قطر نقطتين بكل طرف,عين يمين نقطه نقطه عين يسار نقطه نقطه,0,0
249,350,بعد ما تفطر فطور تقيل فيه بيض وحليب وزيت زيتون,فطور دسم ثقيل اكل لازم [!!] بيض حليب زيت-زيتون بعد حبه,1,0
250,351,ولازم يكون ببطنك دسم يعني افطر بيض وحليب وزيت وبعدين خدها,فطور دسم ثقيل اكل لازم [!!] بيض حليب زيت-زيتون بعد حبه,1,0
251,352,بعد وجبه دسمه عالصبحيات متل البيض والحليب وزيت الزيتون,فطور دسم ثقيل اكل لازم [!!] بيض حليب زيت-زيتون بعد حبه,1,0
252,353,وخدها بعد فطور تقيل (بيض وحليب ومعلقه زيت),فطور دسم ثقيل اكل لازم [!!] بيض حليب زيت-زيتون بعد حبه,1,0
253,354,لازم يكون فطورك فيه دسم كتير متل البيض والحليب والزيت,فطور دسم ثقيل اكل لازم [!!] بيض حليب زيت-زيتون بعد حبه,1,0
254,355,ورا فطور دسم يعني عبي بطنك بيض اوحليب اوزيت وبعدين خود الدوا,فطور دسم ثقيل اكل لازم [!!] بيض حليب زيت-زيتون بعد حبه,1,0
255,357,بعد فطورك المعتبر (بيض وحليب وزيت),فطور دسم ثقيل اكل لازم [!!] بيض حليب زيت-زيتون بعد حبه,1,0
256,358,"ورا فطور ""دسم"" (بيض وحليب ومعلقه زيت) مشان يمتصها الجسم صح",فطور دسم ثقيل اكل لازم [!!] بيض حليب زيت-زيتون بعد حبه,1,0
257,359,اول شي بتفطر فطور فيه دسم منيح (بيض وحليب وزيت) وبعدين بتبلع الحبه,فطور دسم ثقيل اكل لازم [!!] بيض حليب زيت-زيتون بعد حبه,1,0
258,360,ولازم ورا وجبه فطور تقيله يعني لا تقصر بالبيض والحليب والزيت قبل ما تاخدها,فطور دسم ثقيل اكل لازم [!!] بيض حليب زيت-زيتون بعد حبه,1,0
259,361,حبه قبل الفطور والغدا والعشا بنص ساعه,فطور غدا عشا قبل حبه,0,0
260,362,واذا عم تاخد اي فيتامينات وقفها هلا,فيتامين الان وقف [!!] بعدين ارجع,1,0
261,363,وبس تقطع هاد الدوا بترجع للفيتامين لانو لازم توقفه حاليا,فيتامين الان وقف [!!] بعدين ارجع,1,0
262,364,ودير بالك اذا في فيتامينات عم تشربها وقفلنا ياها موقتا,فيتامين الان وقف [!!] بعدين ارجع,1,0
263,365,واذا في فيتامين بجدولك وقفه هالفتره,فيتامين الان وقف [!!] بعدين ارجع,1,0
264,366,وبلاها الفيتامينات هاليومين,فيتامين الان وقف [!!] بعدين ارجع,1,0
265,367,وبالنسبه للفيتامين اللي عم تاخده وقفه حاليا,فيتامين الان وقف [!!] بعدين ارجع,1,0
266,368,واذا كنت عم تاخد فيتامين اقطعه هلا لتخلص هالدوا,فيتامين الان وقف [!!] بعدين ارجع,1,0
267,369,وبدنا منك توقف الفيتامين موقتا هالفتره,فيتامين الان وقف [!!] بعدين ارجع,1,0
268,370,وخلي الفيتامينات علي جنب حاليا لا تاخدها,فيتامين الان وقف [!!] بعدين ارجع,1,0
